S.NO,NAME,RNO,EMAIL,DEPT,YEAR,CURR_SEM,BATCH_YEAR,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10,MENTOR,MENTOR_EMAIL
23,Student 23,22ECE023,student23@college.edu,ECE,3,5,2022,69,60,80,65,77,62,0,0,16,90,85,91,6,Dr. Mentor 23,mentor23@college.edu
24,Student 24,22MECH024,student24@college.edu,MECH,4,7,2022,80,80,81,62,88,61,79,81,26,90,84,77,7,Dr. Mentor 24,mentor24@college.edu
25,Student 25,22CIVIL025,student25@college.edu,CIVIL,1,1,2022,91,79,0,0,0,0,0,0,15,90,70,90,7,Dr. Mentor 25,mentor25@college.edu
26,Student 26,22EEE026,student26@college.edu,EEE,2,3,2022,80,77,94,84,0,0,0,0,27,90,78,93,8,Dr. Mentor 26,mentor26@college.edu
27,Student 27,22IT027,student27@college.edu,IT,3,5,2022,78,63,83,75,77,68,0,0,21,90,82,83,6,Dr. Mentor 27,mentor27@college.edu
28,Student 28,22CDS028,student28@college.edu,CDS,4,7,2022,62,78,66,83,90,91,91,68,19,90,85,79,6,Dr. Mentor 28,mentor28@college.edu
29,Student 29,22CSE029,student29@college.edu,CSE,1,1,2022,94,68,0,0,0,0,0,0,20,90,75,90,6,Dr. Mentor 29,mentor29@college.edu
30,Student 30,22ECE030,student30@college.edu,ECE,2,3,2022,78,81,90,94,0,0,0,0,22,90,70,76,8,Dr. Mentor 30,mentor30@college.edu
31,Student 31,22MECH031,student31@college.edu,MECH,3,5,2022,68,87,94,76,86,83,0,0,28,90,76,91,9,Dr. Mentor 31,mentor31@college.edu
32,Student 32,22CIVIL032,student32@college.edu,CIVIL,4,7,2022,75,65,61,71,63,80,65,80,25,90,87,85,9,Dr. Mentor 32,mentor32@college.edu
33,Student 33,22EEE033,student33@college.edu,EEE,1,1,2022,74,80,0,0,0,0,0,0,29,90,76,87,8,Dr. Mentor 33,mentor33@college.edu
34,Student 34,22IT034,student34@college.edu,IT,2,3,2022,82,63,94,78,0,0,0,0,17,90,84,91,7,Dr. Mentor 34,mentor34@college.edu
35,Student 35,22CDS035,student35@college.edu,CDS,3,5,2022,67,72,86,60,67,81,0,0,18,90,70,93,8,Dr. Mentor 35,mentor35@college.edu
36,Student 36,22CSE036,student36@college.edu,CSE,4,7,2022,90,86,85,80,68,90,69,67,19,90,87,93,7,Dr. Mentor 36,mentor36@college.edu
37,Student 37,22ECE037,student37@college.edu,ECE,1,1,2022,66,79,0,0,0,0,0,0,19,90,72,87,9,Dr. Mentor 37,mentor37@college.edu
38,Student 38,22MECH038,student38@college.edu,MECH,2,3,2022,71,77,60,91,0,0,0,0,27,90,80,86,7,Dr. Mentor 38,mentor38@college.edu
39,Student 39,22CIVIL039,student39@college.edu,CIVIL,3,5,2022,73,69,65,68,71,78,0,0,18,90,87,86,7,Dr. Mentor 39,mentor39@college.edu
40,Student 40,22EEE040,student40@college.edu,EEE,4,7,2022,74,77,86,79,90,72,79,61,29,90,88,85,9,Dr. Mentor 40,mentor40@college.edu
41,Student 41,22IT041,student41@college.edu,IT,1,1,2022,87,63,0,0,0,0,0,0,28,90,80,88,7,Dr. Mentor 41,mentor41@college.edu
42,Student 42,22CDS042,student42@college.edu,CDS,2,3,2022,77,90,86,87,0,0,0,0,27,90,75,91,7,Dr. Mentor 42,mentor42@college.edu
43,Student 43,22CSE043,student43@college.edu,CSE,3,5,2022,86,70,92,70,68,60,0,0,26,90,73,86,9,Dr. Mentor 43,mentor43@college.edu
44,Student 44,22ECE044,student44@college.edu,ECE,4,7,2022,86,60,75,62,89,66,73,86,26,90,72,80,6,Dr. Mentor 44,mentor44@college.edu
45,Student 45,22MECH045,student45@college.edu,MECH,1,1,2022,90,80,0,0,0,0,0,0,24,90,87,75,8,Dr. Mentor 45,mentor45@college.edu
46,Student 46,22CIVIL046,student46@college.edu,CIVIL,2,3,2022,80,74,87,89,0,0,0,0,25,90,84,78,8,Dr. Mentor 46,mentor46@college.edu
47,Student 47,22EEE047,student47@college.edu,EEE,3,5,2022,69,81,73,80,89,69,0,0,22,90,73,89,8,Dr. Mentor 47,mentor47@college.edu
48,Student 48,22IT048,student48@college.edu,IT,4,7,2022,85,60,71,76,75,63,91,81,21,90,85,93,6,Dr. Mentor 48,mentor48@college.edu
49,Student 49,22CDS049,student49@college.edu,CDS,1,1,2022,81,88,0,0,0,0,0,0,23,90,88,83,8,Dr. Mentor 49,mentor49@college.edu
50,Student 50,22CSE050,student50@college.edu,CSE,2,3,2022,64,90,65,86,0,0,0,0,25,90,87,76,9,Dr. Mentor 50,mentor50@college.edu
